INSERT INTO staff (staff_id, name, job_title, department, contact_info) VALUES 
(1, 'John Smith', 'Curator', 'Exhibitions', 'john.smith@example.com'),
(2, 'Jane Doe', 'Security Guard', 'Security', 'jane.doe@example.com'),
(3, 'Tom Brown', 'Custodian', 'Facilities', 'tom.brown@example.com'),
(4, 'Alice Lee', 'Marketing Manager', 'Marketing', 'alice.lee@example.com'),
(5, 'David Wang', 'Accountant', 'Finance', 'david.wang@example.com'),
(6, 'Emily Chen', 'Human Resources Manager', 'Human Resources', 'emily.chen@example.com'),
(7, 'Michael Kim', 'IT Specialist', 'Information Technology', 'michael.kim@example.com'),
(8, 'Samantha Lee', 'Graphic Designer', 'Marketing', 'samantha.lee@example.com'),
(9, 'Daniel Park', 'Events Coordinator', 'Events', 'daniel.park@example.com'),
(10, 'Ava Patel', 'Visitor Services Representative', 'Visitor Services', 'ava.patel@example.com'),
(11, 'Benjamin Garcia', 'Exhibition Designer', 'Exhibitions', 'benjamin.garcia@example.com'),
(12, 'Olivia Davis', 'Membership Coordinator', 'Membership', 'olivia.davis@example.com'),
(13, 'Ethan Martinez', 'Audiovisual Technician', 'Audiovisual', 'ethan.martinez@example.com'),
(14, 'Mia Thompson', 'Researcher', 'Research', 'mia.thompson@example.com'),
(15, 'Alexander Rodriguez', 'Development Officer', 'Development', 'alexander.rodriguez@example.com'),
(16, 'Isabella Wilson', 'Educator', 'Education', 'isabella.wilson@example.com'),
(17, 'Gabriel Turner', 'Archivist', 'Archives', 'gabriel.turner@example.com'),
(18, 'Sophia Campbell', 'Volunteer Coordinator', 'Volunteers', 'sophia.campbell@example.com'),
(19, 'Jackson Parker', 'Assistant Curator', 'Exhibitions', 'jackson.parker@example.com'),
(20, 'Victoria Hernandez', 'Public Relations Manager', 'Public Relations', 'victoria.hernandez@example.com');
